OBJECTID,DATE_,TIME,SEVERITY,SEVERITY_DESCRIPTION,ACCIDENT_TYPE,ACCIDENT_DESCRIPTION,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,X,Y,RENDER
7894,2023/05/21 23:00:00+00,2330,3,Slight,LC,Loss of Control,1,1,0,0,0,0,0,358153,172446,CARS
7895,2023/05/23 23:00:00+00,0921,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358964,173101,A
7896,2023/05/29 23:00:00+00,0042,2,Serious,A,Adult pedestrian,1,1,1,0,0,0,0,359461,173533,A
7897,2023/05/30 23:00:00+00,1850,2,Serious,A,Adult pedestrian,1,1,1,0,0,0,0,355921,179075,A
7898,2023/05/04 23:00:00+00,2030,3,Slight,NONE,Other,2,1,0,1,0,1,0,359310,173530,CYC
7899,2023/06/03 23:00:00+00,1055,2,Serious,J1,Turning Movement from major road,2,1,0,0,1,0,0,357460,168234,MCYC
7900,2023/05/09 23:00:00+00,1730,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,357486,174551,CYC
7901,2023/05/09 23:00:00+00,1205,3,Slight,O,Overtaking,2,1,0,1,0,0,0,358880,171880,CYC
7902,2022/09/13 23:00:00+00,1904,3,Slight,NONE,Other,1,1,1,0,0,0,0,360530,174268,CARS
7903,2022/11/25 00:00:00+00,0845,2,Serious,J1,Turning Movement from major road,2,1,0,1,0,0,0,359065,174299,CYC
7904,2022/12/09 00:00:00+00,1125,3,Slight,E,Elderly pedestrian,1,1,1,0,0,0,1,359015,173393,E
7905,2022/12/30 00:00:00+00,1720,3,Slight,J,Turning movement – unidentified priority,2,1,0,0,1,0,0,364187,175970,MCYC
7906,2022/07/07 23:00:00+00,0607,2,Serious,HO,Head On,2,2,0,0,0,0,0,362946,168933,CARS
7907,2023/07/01 23:00:00+00,0001,2,Serious,A,Adult pedestrian,1,1,1,0,0,0,0,359802,174552,A
7908,2023/07/05 23:00:00+00,1739,3,Slight,NONE,Other,2,1,0,0,1,0,0,358988,175593,MCYC
7909,2023/07/05 23:00:00+00,2007,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,358274,171335,CYC
